syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
fen,ø,n,en,fen,ø,eifen,C,KC,CKC,DCKC,CDCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCD,acc,11,14,10,5,4,3,-1,light,light,schwa,c,o,c,DC,CCD,CKC,,CC,C,C,,C,D,D,K,3,4,3,1,0,1,0,2,1,2,2,1,VVC,CCVV,CVC,0,1,2,V,V,F,1,auskneifen,antepaenultima
sen,ø,n,en,sen,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,13,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CCKC,CKC,,CC,C,C,C,C,D,K,K,3,4,3,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,V,V,F,1,ausknipsen,antepaenultima
ø,ø,n,ln,eln,ø,ø,C,CC,KCC,CKCC,LCKCC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCL,acc,11,10,14,5,3,3,1,light,light,schwa,c,o,c,DC,CCL,CKCC,,CC,C,C,,CC,D,L,K,3,3,4,1,0,2,0,2,1,2,2,1,VVC,CCVV,CVCC,0,1,3,V,V,F,1,ausknobeln,antepaenultima
cken,ø,n,en,ken,cken,ø,C,KC,CKC,KCKC,CKCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,ø,11,10,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CCK,CKC,,CC,C,C,,C,D,K,K,3,3,4,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,V,ø,F,0,ausknocken,antepaenultima
fen,ø,n,en,fen,pfen,ø,C,KC,AKC,KAKC,CKAKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,10,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CCK,AKC,,CC,A,C,,C,D,K,K,3,4,3,1,1,1,0,2,1,2,1,1,VVC,CCVC,CVC,0,3,2,V,V,F,1,ausknoepfen,antepaenultima
bar,bar,r,ar,bar,ø,ø,C,LC,CLC,ø,ø,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCC,DCCCK,acc,11,11,15,5,2,5,2,light,light,light,c,c,c,DC,ø,CLC,,CC,C,C,A,C,D,K,L,3,5,3,1,1,1,0,2,1,2,1,2,VVC,CCVC,CVVC,0,3,1,A,V,F,1,ausknoepfbar,antepaenultima
chen,chen,n,en,hen,chen,ø,C,KC,CKC,KCKC,CKCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,acc,11,7,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CK,CKC,,C,C,C,,C,D,K,K,3,2,4,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,V,V,F,1,auskochen,antepaenultima
ø,ø,n,rn,ern,ø,ø,C,CC,KCC,CKCC,KCKCC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,acc,11,7,14,5,3,3,1,light,light,schwa,c,c,c,DC,CK,CKCC,,C,C,C,,CC,D,K,K,3,3,4,1,1,2,0,1,1,2,1,1,VVC,CVC,CVCC,0,2,3,V,N,F,1,auskoffern,antepaenultima
ken,ø,n,en,ken,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,ø,11,11,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CKC,CKC,,C,C,C,C,C,D,K,K,3,3,3,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,V,V,F,1,auskolken,antepaenultima
ø,ø,g,ng,ung,kung,ø,C,KC,CKC,CCKC,KCCKC,ø,Aus,ø,A,Au,Aus,ø,ø,D,DC,DCC,DCCK,DCCKC,ø,11,11,12,5,3,4,0,light,light,light,c,c,c,DC,CKC,CKC,,C,C,C,C,C,D,K,K,3,3,4,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,N,V,T,1,Auskolkung,antepaenultima
