syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
tier,ø,r,er,ier,tier,ttier,C,LC,CLC,CCLC,DCCLC,ø,Leit,ø,L,Le,Lei,Leit,Leitt,C,CD,CDC,CDCC,CDCCL,ø,15,13,5,4,-1,light,light,c,c,CDC,CLC,C,C,C,C,D,L,4,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,VN,T,2,Leittier,paenultima
zahl,ø,l,hl,ahl,zahl,tzahl,C,LC,ALC,CALC,DCALC,ø,Leit,ø,L,Le,Lei,Leit,Leitz,C,CD,CDC,CDCA,CDCAL,ø,15,15,5,5,0,light,light,c,c,CDC,ALC,C,A,C,C,D,L,4,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,VN,T,2,Leitzahl,paenultima
rad,ø,d,ad,rad,krad,nkrad,C,LC,CLC,CCLC,CCCLC,ø,Lenk,ø,L,Le,Len,Lenk,Lenkr,C,CK,CKC,CKCC,CKCCC,ø,14,15,3,5,1,heavy,light,c,c,CKCC,CLC,C,C,CC,C,K,L,4,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,VN,T,2,Lenkrad,paenultima
stoff,ø,f,ff,off,toff,stoff,C,KC,CKC,CCKC,CCCKC,ø,Lern,ø,L,Le,Ler,Lern,Lerns,C,CK,CKC,CKCC,CKCCC,ø,17,9,4,2,-4,heavy,light,c,c,CKCC,CCKC,C,CC,CC,C,K,K,4,5,2,1,1,2,1,1,CVCC,CCVC,3,3,N,VN,T,2,Lernstoff,paenultima
art,ø,t,rt,art,sart,esart,C,CC,LCC,CLCC,LCLCC,ø,Les,ø,L,Le,Les,Lesa,Lesar,C,CL,CLC,CLCL,CLCLC,ø,11,15,3,5,2,light,heavy,c,c,CLC,LCC,C,,C,CC,L,L,3,3,1,2,1,0,2,2,CVVC,VVCC,1,1,N,VN,T,2,Lesart,paenultima
hin,ø,n,in,hin,thin,zthin,C,KC,CKC,CCKC,ACCKC,ø,letzt,ø,l,le,let,letz,letzt,C,CK,CKA,CKAC,CKACC,ø,12,12,3,4,0,heavy,light,c,c,CKAC,CKC,C,C,AC,C,K,K,5,3,2,1,1,1,1,1,CVCC,CVC,3,2,ADV,ø,F,2,letzthin,paenultima
mals,ø,s,ls,als,mals,tmals,C,CC,LCC,CLCC,CCLCC,ø,letzt,ø,l,le,let,letz,letzt,C,CK,CKA,CKAC,CKACC,ø,12,18,3,4,3,heavy,heavy,c,c,CKAC,CLCC,C,C,AC,CC,K,L,5,4,2,2,1,1,1,2,CVCC,CVVCC,3,1,ADV,AN,F,2,letztmals,paenultima
schrift,ø,t,ft,ift,rift,hrift,C,CC,KCC,CKCC,CCKCC,ø,Leucht,ø,L,Le,Leu,Leuc,Leuch,C,CD,CDC,CDCC,CDCCC,ø,16,15,4,3,0,heavy,heavy,c,c,CDCC,CCKCC,C,CC,CC,CC,D,K,6,7,2,2,1,2,2,1,CVVCC,CCVCC,1,4,N,VN,T,2,Leuchtschrift,paenultima
turm,ø,m,rm,urm,turm,tturm,C,CC,KCC,CKCC,CCKCC,ø,Leucht,ø,L,Le,Leu,Leuc,Leuch,C,CD,CDC,CDCC,CDCCC,ø,16,16,4,4,0,heavy,heavy,c,c,CDCC,CKCC,C,C,CC,CC,D,K,6,4,2,2,1,1,2,1,CVVCC,CVCC,1,3,N,VN,T,2,Leuchtturm,paenultima
bad,ø,d,ad,bad,tbad,htbad,C,LC,CLC,CCLC,CCCLC,ø,Licht,ø,L,Li,Lic,Lich,Licht,C,CK,CKC,CKCC,CKCCC,ø,14,12,3,4,-1,heavy,light,c,c,CKCC,CLC,C,C,CC,C,K,L,5,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,NN,T,2,Lichtbad,paenultima
bild,ø,d,ld,ild,bild,tbild,C,CC,KCC,CKCC,CCKCC,ø,Licht,ø,L,Li,Lic,Lich,Licht,C,CK,CKC,CKCC,CKCCC,ø,14,14,3,3,0,heavy,heavy,c,c,CKCC,CKCC,C,C,CC,CC,K,K,5,4,2,2,1,1,1,1,CVCC,CVCC,3,3,N,NN,T,2,Lichtbild,paenultima
blau,ø,u,au,lau,blau,tblau,D,CD,CCD,CCCD,CCCCD,ø,licht,ø,l,li,lic,lich,licht,C,CK,CKC,CKCC,CKCCC,ø,14,15,3,5,1,heavy,light,c,o,CKCC,CCD,C,CC,CC,,K,D,5,4,2,0,1,2,1,2,CVCC,CCVV,3,1,A,AA,F,2,lichtblau,paenultima
blond,ø,d,nd,ond,lond,blond,C,CC,KCC,CKCC,CCKCC,ø,licht,ø,l,li,lic,lich,licht,C,CK,CKC,CKCC,CKCCC,ø,14,15,3,3,1,heavy,heavy,c,c,CKCC,CCKCC,C,CC,CC,CC,K,K,5,5,2,2,1,2,1,1,CVCC,CCVCC,3,4,A,AA,F,2,lichtblond,paenultima
grau,ø,u,au,rau,grau,tgrau,D,CD,CCD,CCCD,CCCCD,ø,licht,ø,l,li,lic,lich,licht,C,CK,CKC,CKCC,CKCCC,ø,14,15,3,5,1,heavy,light,c,o,CKCC,CCD,C,CC,CC,,K,D,5,4,2,0,1,2,1,2,CVCC,CCVV,3,1,A,AA,F,2,lichtgrau,paenultima
spiel,ø,l,el,iel,piel,spiel,C,LC,CLC,CCLC,CCCLC,ø,Licht,ø,L,Li,Lic,Lich,Licht,C,CK,CKC,CKCC,CKCCC,ø,14,14,3,3,0,heavy,light,c,c,CKCC,CCLC,C,CC,CC,C,K,L,5,5,2,1,1,2,1,2,CVCC,CCVVC,3,1,N,NN,T,2,Lichtspiel,paenultima
voll,ø,l,ll,oll,voll,tvoll,C,KC,CKC,CCKC,CCCKC,ø,licht,ø,l,li,lic,lich,licht,C,CK,CKC,CKCC,CKCCC,ø,14,11,3,3,-1,heavy,light,c,c,CKCC,CKC,C,C,CC,C,K,K,5,4,2,1,1,1,1,1,CVCC,CVC,3,2,A,NA,F,2,lichtvoll,paenultima
krampf,ø,f,pf,mpf,ampf,rampf,A,CA,KCA,CKCA,CCKCA,ø,Lid,ø,L,Li,Lid,Lidk,Lidkr,C,CK,CKC,CKCC,CKCCC,ø,13,15,4,3,1,light,heavy,c,c,CKC,CCKCA,C,CC,C,CA,K,K,3,6,1,2,1,2,1,1,CVC,CCVCC,2,4,N,NN,T,2,Lidkrampf,paenultima
reich,ø,h,ch,ich,eich,reich,C,DC,CDC,CCDC,LCCDC,ø,lieb,ø,l,li,lie,lieb,liebr,C,CL,CLC,CLCC,CLCCD,ø,12,16,6,4,2,light,light,o,c,CL,CCDC,C,CC,,C,L,D,4,5,0,1,1,2,2,2,CVV,CCVVC,0,1,A,AA,F,2,liebreich,paenultima
reiz,ø,z,iz,eiz,reiz,breiz,A,DA,CDA,CCDA,LCCDA,ø,Lieb,ø,L,Li,Lie,Lieb,Liebr,C,CL,CLC,CLCC,CLCCD,ø,13,15,4,5,1,light,light,c,c,CLC,CDA,C,C,C,A,L,D,4,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,AN,T,2,Liebreiz,paenultima
gr2n,ø,n,en,uen,ruen,gruen,C,LC,CLC,CCLC,CCCLC,ø,lind,ø,l,li,lin,lind,lindg,C,CK,CKC,CKCC,CKCCC,ø,16,16,4,4,0,heavy,light,c,c,CKCC,CCLC,C,CC,CC,C,K,L,4,4,2,1,1,2,1,2,CVCC,CCVVC,3,1,A,NA,F,2,lindgruen,paenultima
her,ø,r,er,her,sher,ksher,C,LC,CLC,CCLC,CCCLC,ø,links,ø,l,li,lin,link,links,C,CK,CKC,CKCC,CKCCC,ø,17,11,3,3,-3,heavy,light,c,c,CKCCC,CLC,C,C,CCC,C,K,L,5,3,3,1,1,1,1,2,CVCCC,CVVC,4,1,ADV,ø,F,2,linksher,paenultima
um,um,m,um,sum,ksum,nksum,C,KC,CKC,CCKC,CCCKC,ø,links,ø,l,li,lin,link,links,C,CK,CKC,CKCC,CKCCC,ø,17,11,3,5,-3,heavy,light,c,c,CKCCC,KC,C,,CCC,C,K,K,5,2,3,1,1,0,1,1,CVCCC,VC,4,1,ADV,ø,F,2,linksum,ultima
lied,ø,d,ed,ied,lied,blied,C,LC,CLC,CCLC,LCCLC,ø,Lob,ø,L,Lo,Lob,Lobl,Lobli,C,CL,CLC,CLCC,CLCCL,ø,11,13,3,4,1,light,light,c,c,CLC,CLC,C,C,C,C,L,L,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Loblied,paenultima
preis,ø,s,is,eis,reis,preis,C,DC,CDC,CCDC,CCCDC,ø,Lob,ø,L,Lo,Lob,Lobp,Lobpr,C,CL,CLC,CLCC,CLCCC,ø,11,16,3,4,3,light,light,c,c,CLC,CCDC,C,CC,C,C,L,D,3,5,1,1,1,2,2,2,CVVC,CCVVC,1,1,N,NN,T,2,Lobpreis,paenultima
ruf,ø,f,uf,ruf,kruf,ckruf,C,LC,CLC,CCLC,KCCLC,ø,Lock,ø,L,Lo,Loc,Lock,Lockr,C,CK,CKC,CKCC,CKCCL,ø,11,13,3,4,1,light,light,c,c,CKC,CLC,C,C,C,C,K,L,4,3,1,1,1,1,1,2,CVC,CVVC,2,1,N,VN,T,2,Lockruf,paenultima
