syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,12,9,13,3,4,4,4,1,light,light,light,schwa,o,c,o,c,CL,CKC,CL,CKC,C,C,C,C,,C,,C,L,K,L,K,2,3,3,3,0,1,0,1,1,1,1,1,2,1,2,1,CVV,CVC,CVV,CVC,0,2,0,2,V,V,F,1,demontieren,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,12,9,15,3,4,4,5,2,light,light,light,light,o,c,o,c,CL,CKC,CL,CKC,C,C,C,C,,C,,C,L,K,L,K,2,3,3,4,0,1,0,1,1,1,1,1,2,1,2,1,CVV,CVC,CVV,CVC,0,2,0,2,N,V,T,1,Demontierung,paenultima
gen,ø,n,en,gen,igen,tigen,C,KC,CKC,KCKC,CKCKC,noacc,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,11,9,10,3,5,4,3,0,light,light,light,schwa,o,o,c,c,CL,CL,CK,CKC,C,C,C,C,,,,C,L,L,K,K,2,2,2,3,0,0,1,1,1,1,1,1,2,2,1,1,CVV,CVV,CVC,CVC,0,0,2,2,V,N,F,1,demuetigen,prima
gen,ø,n,en,gen,egen,ø,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,D,ø,ø,ø,ø,C,CK,CKC,CKCC,CKCCC,ø,11,11,9,10,2,3,4,3,-1,heavy,light,light,schwa,c,c,o,c,CKCC,CKC,CL,CKC,C,C,C,C,CC,C,,C,K,K,L,K,4,3,2,3,2,1,0,1,1,1,1,1,1,1,2,1,CVCC,CVC,CVV,CVC,3,2,0,2,N,VN,T,2,Denkvermoegen,prima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,9,9,13,3,4,4,4,1,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,V,F,1,denotieren,paenultima
ø,ant,t,nt,ø,ø,ø,C,CC,KCC,ø,ø,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,14,9,10,3,4,4,3,0,light,light,light,heavy,o,c,o,c,CL,CKC,AL,KCC,C,C,A,,,C,,CC,L,K,L,K,2,3,2,3,0,1,0,2,1,1,1,0,2,1,2,1,CVV,CVC,CVV,VCC,0,2,0,2,N,R,T,1,Denunziant,ultima
ø,ø,t,nt,ent,ment,ø,N,ø,ø,ø,ø,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,11,7,11,3,3,3,5,0,light,light,schwa,light,o,c,o,o,CL,CKC,CK,ø,C,C,C,C,,C,,,L,K,K,N,2,3,2,4,0,1,0,0,1,1,1,1,2,1,1,2,CVV,CVC,CV,CVV,0,2,1,0,N,ø,T,0,Departement,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,7,11,13,3,3,5,4,2,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,R,F,1,deponieren,paenultima
ø,tum,m,um,ø,ø,ø,C,KC,CKC,LCKC,CLCKC,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,7,9,12,3,3,4,4,1,light,light,light,light,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,2,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,N,R,T,1,Depositum,antepaenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,12,9,13,3,6,4,4,1,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,R,F,1,derivieren,paenultima
