syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
b1ck,ø,k,ck,eck,aeck,baeck,C,KC,CKC,KCKC,CKCKC,ø,Ge,ø,G,Ge,Geb,Geba,Gebae,C,CK,CKC,CKCK,CKCKC,ø,7,8,3,2,1,schwa,light,o,c,CK,CKC,C,C,,C,K,K,2,4,0,1,1,1,1,1,CV,CVC,1,2,N,V,T,1,Gebaeck,ultima
b1lk,ø,k,lk,elk,aelk,baelk,C,CC,KCC,CKCC,KCKCC,ø,Ge,ø,G,Ge,Geb,Geba,Gebae,C,CK,CKC,CKCK,CKCKC,ø,7,12,3,3,3,schwa,heavy,o,c,CK,CKCC,C,C,,CC,K,K,2,4,0,2,1,1,1,1,CV,CVCC,1,3,N,N,T,1,Gebaelk,ultima
bein,ø,n,in,ein,bein,ebein,C,DC,CDC,KCDC,CKCDC,ø,Ge,ø,G,Ge,Geb,Gebe,Gebei,C,CK,CKC,CKCD,CKCDC,ø,7,14,3,4,4,schwa,light,o,c,CK,CDC,C,C,,C,K,D,2,4,0,1,1,1,1,2,CV,CVVC,1,1,N,N,T,1,Gebein,ultima
bell,ø,l,ll,ell,bell,ebell,C,KC,CKC,KCKC,CKCKC,ø,Ge,ø,G,Ge,Geb,Gebe,Gebel,C,CK,CKC,CKCK,CKCKC,ø,7,11,3,3,2,schwa,light,o,c,CK,CKC,C,C,,C,K,K,2,4,0,1,1,1,1,1,CV,CVC,1,2,N,V,T,1,Gebell,ultima
ber,ø,r,er,ber,eber,Geber,C,KC,CKC,LCKC,CLCKC,ø,Ge,ø,G,Ge,Geb,Gebe,Geber,C,CL,CLC,CLCK,CLCKC,ø,7,11,3,3,2,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,N,V,T,1,Geber,paenultima
bet,ø,t,et,bet,ebet,Gebet,C,LC,CLC,KCLC,CKCLC,ø,Ge,ø,G,Ge,Geb,Gebe,Gebet,C,CK,CKC,CKCL,CKCLC,ø,7,8,3,2,1,schwa,light,o,c,CK,CLC,C,C,,C,K,L,2,3,0,1,1,1,1,2,CV,CVVC,1,1,N,V,T,1,Gebet,ultima
biet,ø,t,et,iet,biet,ebiet,C,LC,CLC,KCLC,CKCLC,ø,Ge,ø,G,Ge,Geb,Gebi,Gebie,C,CK,CKC,CKCL,CKCLC,ø,7,10,3,3,2,schwa,light,o,c,CK,CLC,C,C,,C,K,L,2,4,0,1,1,1,1,2,CV,CVVC,1,1,N,N,T,1,Gebiet,ultima
bi$,ø,s,ss,iss,biss,ebiss,C,KC,CKC,KCKC,CKCKC,ø,Ge,ø,G,Ge,Geb,Gebi,Gebis,C,CK,CKC,CKCK,CKCKC,ø,7,10,3,3,2,schwa,light,o,c,CK,CKC,C,C,,C,K,K,2,3,0,1,1,1,1,1,CV,CVC,1,2,N,V,T,1,Gebiss,ultima
bl3k,ø,k,ek,oek,loek,bloek,C,LC,CLC,CCLC,KCCLC,ø,Ge,ø,G,Ge,Geb,Gebl,Geblo,C,CK,CKC,CKCC,CKCCL,ø,7,12,3,3,3,schwa,light,o,c,CK,CCLC,C,CC,,C,K,L,2,4,0,1,1,2,1,2,CV,CCVVC,1,1,N,V,T,1,Gebloek,ultima
bot,ø,t,ot,bot,ebot,Gebot,C,LC,CLC,KCLC,CKCLC,ø,Ge,ø,G,Ge,Geb,Gebo,Gebot,C,CK,CKC,CKCL,CKCLC,ø,7,8,3,2,1,schwa,light,o,c,CK,CLC,C,C,,C,K,L,2,3,0,1,1,1,1,2,CV,CVVC,1,1,N,V,T,1,Gebot,ultima
brannt,ø,t,nt,nnt,annt,rannt,C,CC,KCC,CKCC,CCKCC,ø,ge,ø,g,ge,geb,gebr,gebra,C,CK,CKC,CKCC,CKCCK,ø,7,15,3,3,4,schwa,heavy,o,c,CK,CCKCC,C,CC,,CC,K,K,2,6,0,2,1,2,1,1,CV,CCVCC,1,4,A,F,F,1,gebrannt,ultima
br1u,ø,u,eu,aeu,raeu,braeu,D,CD,CCD,KCCD,CKCCD,ø,Ge,ø,G,Ge,Geb,Gebr,Gebra,C,CK,CKC,CKCC,CKCCD,ø,7,15,3,5,4,schwa,light,o,o,CK,CCD,C,CC,,,K,D,2,4,0,0,1,2,1,2,CV,CCVV,1,1,N,V,T,1,Gebraeu,ultima
brauch,ø,h,ch,uch,auch,rauch,C,DC,CDC,CCDC,KCCDC,ø,Ge,ø,G,Ge,Geb,Gebr,Gebra,C,CK,CKC,CKCC,CKCCD,ø,7,16,3,4,5,schwa,light,o,c,CK,CCDC,C,CC,,C,K,D,2,6,0,1,1,2,1,2,CV,CCVVC,1,1,N,V,T,1,Gebrauch,ultima
brech,ø,h,ch,ech,rech,brech,C,KC,CKC,CCKC,KCCKC,ø,Ge,ø,G,Ge,Geb,Gebr,Gebre,C,CK,CKC,CKCC,CKCCK,ø,7,12,3,3,3,schwa,light,o,c,CK,CCKC,C,CC,,C,K,K,2,5,0,1,1,2,1,1,CV,CCVC,1,3,N,V,T,1,Gebrech,ultima
br2ll,ø,l,ll,ell,uell,ruell,C,KC,CKC,CCKC,KCCKC,ø,Ge,ø,G,Ge,Geb,Gebr,Gebru,C,CK,CKC,CKCC,CKCCK,ø,7,17,3,4,5,schwa,light,o,c,CK,CCKC,C,CC,,C,K,K,2,5,0,1,1,2,1,1,CV,CCVC,1,3,N,V,T,1,Gebruell,ultima
b2hr,ø,r,hr,ehr,uehr,buehr,C,LC,CLC,KCLC,CKCLC,ø,Ge,ø,G,Ge,Geb,Gebu,Gebue,C,CK,CKC,CKCL,CKCLC,ø,7,13,3,4,3,schwa,light,o,c,CK,CLC,C,C,,C,K,L,2,4,0,1,1,1,1,2,CV,CVVC,1,1,N,V,T,1,Gebuehr,ultima
