syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
ke,ø,e,ke,uke,Luke,ø,K,CK,LCK,CLCK,ø,Lu,ø,L,Lu,Luk,Luke,ø,C,CL,CLC,CLCK,ø,12,7,6,3,-2,light,schwa,o,o,CL,CK,C,C,,,L,K,2,2,0,0,1,1,2,1,CVV,CV,0,1,N,N,T,1,Luke,paenultima
latsch,ø,h,ch,sch,tsch,atsch,A,LA,CLA,LCLA,CLCLA,Lu,ø,L,Lu,Lul,Lula,Lulat,C,CL,CLC,CLCL,CLCLA,12,15,6,5,2,light,light,o,c,CL,CLA,C,C,,A,L,L,2,6,0,1,1,1,2,2,CVV,CVVC,0,1,N,N,T,1,Lulatsch,paenultima
len,ø,n,en,len,llen,ullen,C,KC,CKC,KCKC,CKCKC,lul,ø,l,lu,lul,lull,lulle,C,CK,CKC,CKCK,CKCKC,12,13,6,4,1,light,schwa,c,c,CK,CKC,C,C,,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,V,V,F,1,lullen,paenultima
bal,ø,l,al,bal,mbal,umbal,C,LC,CLC,CCLC,KCCLC,lum,ø,l,lu,lum,lumb,lumba,C,CK,CKC,CKCC,CKCCL,15,15,5,5,0,light,light,c,c,CKC,CLC,C,C,C,C,K,L,3,3,1,1,1,1,1,2,CVC,CVVC,2,1,A,A,F,1,lumbal,ultima
meln,ø,n,ln,eln,meln,mmeln,C,CC,KCC,CKCC,KCKCC,l2m,ø,l,lu,lue,luem,luemm,C,CK,CKC,CKCK,CKCKC,12,16,6,4,2,light,schwa,c,c,CK,CKCC,C,C,,CC,K,K,3,4,1,2,1,1,1,1,CVC,CVCC,2,3,V,V,F,1,luemmeln,paenultima
mel,ø,l,el,mel,mmel,emmel,C,KC,CKC,KCKC,CKCKC,L2m,ø,L,Lu,Lue,Luem,Luemm,C,CK,CKC,CKCK,CKCKC,12,13,6,4,1,light,schwa,c,c,CK,CKC,C,C,,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Luemmel,paenultima
pen,ø,n,en,pen,mpen,umpen,C,KC,CKC,CCKC,KCCKC,lum,ø,l,lu,lum,lump,lumpe,C,CK,CKC,CKCC,CKCCK,15,10,5,3,-2,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,V,V,F,1,lumpen,paenultima
pen,ø,n,en,pen,mpen,umpen,C,KC,CKC,CCKC,KCCKC,Lum,ø,L,Lu,Lum,Lump,Lumpe,C,CK,CKC,CKCC,CKCCK,15,10,5,3,-2,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Lumpen,paenultima
pig,ø,g,ig,pig,mpig,umpig,C,KC,CKC,CCKC,KCCKC,lum,ø,l,lu,lum,lump,lumpi,C,CK,CKC,CKCC,CKCCK,15,10,5,3,-2,light,light,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,A,N,F,1,lumpig,paenultima
na,ø,a,na,una,Luna,ø,L,CL,LCL,CLCL,ø,Lu,ø,L,Lu,Lun,Luna,ø,C,CL,CLC,CLCL,ø,12,13,6,6,1,light,light,o,o,CL,CL,C,C,,,L,L,2,2,0,0,1,1,2,2,CVV,CVV,0,0,N,N,T,1,Luna,paenultima
nar,ø,r,ar,nar,unar,lunar,C,LC,CLC,LCLC,CLCLC,lu,ø,l,lu,lun,luna,lunar,C,CL,CLC,CLCL,CLCLC,12,17,6,5,3,light,light,o,c,CL,CLC,C,C,,C,L,L,2,3,0,1,1,1,2,2,CVV,CVVC,0,1,A,N,F,1,lunar,ultima
chen,chen,n,en,hen,chen,nchen,C,KC,CKC,CCKC,KCCKC,lun,ø,l,lu,lun,lunc,lunch,C,CK,CKC,CKCC,CKCCK,13,10,4,3,-1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,3,4,1,1,1,1,1,1,CVC,CVC,2,2,V,N,F,1,lunchen,paenultima
ge,ø,e,ge,nge,unge,Lunge,K,CK,KCK,CKCK,ø,Lun,ø,L,Lu,Lun,Lung,Lunge,C,CK,CKC,CKCK,ø,12,9,6,4,-1,light,schwa,c,o,CK,CK,C,C,,,K,K,3,2,1,0,1,1,1,1,CVC,CV,2,1,N,N,T,1,Lunge,paenultima
gern,ø,n,rn,ern,gern,ngern,C,CC,KCC,CKCC,KCKCC,lun,ø,l,lu,lun,lung,lunge,C,CK,CKC,CKCK,CKCKC,12,16,6,4,2,light,schwa,c,c,CK,CKCC,C,C,,CC,K,K,3,4,1,2,1,1,1,1,CVC,CVCC,2,3,V,V,F,1,lungern,paenultima
te,ø,e,te,nte,unte,Lunte,K,CK,CCK,KCCK,CKCCK,Lun,ø,L,Lu,Lun,Lunt,Lunte,C,CK,CKC,CKCC,CKCCK,15,7,5,3,-4,light,schwa,c,o,CKC,CK,C,C,C,,K,K,3,2,1,0,1,1,1,1,CVC,CV,2,1,N,N,T,1,Lunte,paenultima
