syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
teur,ø,r,ur,eur,teur,rteur,C,LC,CLC,CCLC,KCCLC,Ex,ø,E,Ex,Exp,Expo,Expor,K,KC,KCC,KCCC,KCCCK,8,11,11,2,3,3,1,heavy,light,light,c,c,c,KCC,CKC,CLC,,C,C,CC,C,C,K,K,L,2,3,4,2,1,1,0,1,1,1,1,2,VCC,CVC,CVVC,2,2,1,N,N,T,1,Exporteur,ultima
siv,ø,v,iv,siv,ssiv,essiv,C,LC,CLC,KCLC,CKCLC,ex,ø,e,ex,exp,expr,expre,K,KC,KCC,KCCC,KCCCC,8,11,10,2,3,3,1,heavy,light,light,c,c,c,KCC,CCK,CLC,,CC,C,CC,,C,K,K,L,2,4,3,2,1,1,0,2,1,1,1,2,VCC,CCVC,CVVC,2,3,1,A,R,F,1,expressiv,ultima
siv,ø,v,iv,siv,lsiv,ulsiv,C,LC,CLC,CCLC,KCCLC,ex,ø,e,ex,exp,expu,expul,K,KC,KCC,KCCC,KCCCK,8,13,10,2,4,3,1,heavy,light,light,c,c,c,KCC,CKC,CLC,,C,C,CC,C,C,K,K,L,2,3,3,2,1,1,0,1,1,1,1,2,VCC,CVC,CVVC,2,2,1,A,R,F,1,expulsiv,ultima
sit,ø,t,it,sit,isit,uisit,C,LC,CLC,LCLC,CLCLC,ex,ø,e,ex,exq,exqu,exqui,K,KC,KCC,KCCC,KCCCC,8,10,10,2,3,3,1,heavy,light,light,c,o,c,KCC,CCL,CLC,,CC,C,CC,,C,K,L,L,2,3,3,2,0,1,0,2,1,1,2,2,VCC,CCVV,CVVC,2,1,1,A,ø,F,0,exquisit,ultima
siv,ø,v,iv,siv,nsiv,ensiv,C,LC,CLC,CCLC,KCCLC,ex,ø,e,ex,ext,exte,exten,K,KC,KCC,KCCC,KCCCK,8,10,10,2,3,3,1,heavy,light,light,c,c,c,KCC,CKC,CLC,,C,C,CC,C,C,K,K,L,2,3,3,2,1,1,0,1,1,1,1,2,VCC,CVC,CVVC,2,2,1,A,R,F,1,extensiv,ultima
ne,ø,e,ne,rne,erne,terne,K,CK,CCK,KCCK,CKCCK,Ex,ø,E,Ex,Ext,Exte,Exter,K,KC,KCC,KCCC,KCCCK,8,11,9,2,3,4,0,heavy,light,schwa,c,c,o,KCC,CKC,CK,,C,C,CC,C,,K,K,K,2,3,2,2,1,0,0,1,1,1,1,1,VCC,CVC,CV,2,2,1,N,A,T,1,Externe,paenultima
mist,ø,t,st,ist,mist,emist,C,CC,KCC,CKCC,LCKCC,Ex,ø,E,Ex,Ext,Extr,Extre,K,KC,KCC,KCCC,KCCCC,8,11,13,2,3,3,2,heavy,light,heavy,c,o,c,KCC,CCL,CKCC,,CC,C,CC,,CC,K,L,K,2,3,4,2,0,2,0,2,1,1,2,1,VCC,CCVV,CVCC,2,1,3,N,A,T,1,Extremist,ultima
lent,ø,t,nt,ent,lent,llent,C,CC,KCC,CKCC,KCKCC,ex,ø,e,ex,exz,exze,exzel,K,KC,KCC,KCCA,KCCAK,8,7,14,2,3,3,3,heavy,light,heavy,c,c,c,KCC,AK,CKCC,,A,C,CC,,CC,K,K,K,2,3,4,2,1,2,0,1,1,1,1,1,VCC,CVC,CVCC,2,2,3,A,R,F,1,exzellent,ultima
lenz,ø,z,nz,enz,lenz,llenz,A,CA,KCA,CKCA,KCKCA,Ex,ø,E,Ex,Exz,Exze,Exzel,K,KC,KCC,KCCA,KCCAK,8,7,14,2,3,3,3,heavy,light,heavy,c,c,c,KCC,AK,CKCA,,A,C,CC,,CA,K,K,K,2,3,4,2,1,2,0,1,1,1,1,1,VCC,CVC,CVCC,2,2,3,N,R,T,1,Exzellenz,ultima
trik,ø,k,ik,rik,trik,ntrik,C,KC,CKC,CCKC,CCCKC,Ex,ø,E,Ex,Exz,Exze,Exzen,K,KC,KCC,KCCA,KCCAK,8,10,14,2,3,3,3,heavy,light,light,c,c,c,KCC,AKC,CCKC,,A,CC,CC,C,C,K,K,K,2,3,4,2,1,1,0,1,2,1,1,1,VCC,CVC,CCVC,2,2,3,N,R,T,1,Exzentrik,paenultima
trisch,ø,h,ch,sch,isch,risch,C,KC,CKC,CCKC,CCCKC,ex,ø,e,ex,exz,exze,exzen,K,KC,KCC,KCCA,KCCAK,8,10,14,2,3,3,3,heavy,light,light,c,c,c,KCC,AKC,CCKC,,A,CC,CC,C,C,K,K,K,2,3,6,2,1,1,0,1,2,1,1,1,VCC,CVC,CCVC,2,2,3,A,R,F,1,exzentrisch,paenultima
siv,ø,v,iv,siv,ssiv,essiv,C,LC,CLC,KCLC,AKCLC,ex,ø,e,ex,exz,exze,exzes,K,KC,KCC,KCCA,KCCAK,8,7,10,2,3,3,1,heavy,light,light,c,c,c,KCC,AK,CLC,,A,C,CC,,C,K,K,L,2,3,3,2,1,1,0,1,1,1,1,2,VCC,CVC,CVVC,2,2,1,A,N,F,1,exzessiv,ultima
lei,ø,i,ei,lei,elei,belei,D,CD,KCD,CKCD,LCKCD,Fa,ø,F,Fa,Fab,Fabe,Fabel,C,CL,CLC,CLCK,CLCKC,11,7,14,5,3,7,1,light,schwa,light,o,o,o,CL,CK,CD,C,C,C,,,,L,K,D,2,2,3,0,0,0,1,1,1,2,1,2,CVV,CV,CVV,0,1,0,N,V,T,1,Fabelei,ultima
haft,ø,t,ft,aft,haft,lhaft,C,CC,KCC,CKCC,CCKCC,fa,ø,f,fa,fab,fabe,fabel,C,CL,CLC,CLCK,CLCKC,11,11,9,5,3,2,-1,light,schwa,heavy,o,c,c,CL,CKC,CKCC,C,C,C,,C,CC,L,K,K,2,3,4,0,1,2,1,1,1,2,1,1,CVV,CVC,CVCC,0,2,3,A,N,F,1,fabelhaft,antepaenultima
kant,ø,t,nt,ant,kant,ikant,C,CC,KCC,CKCC,LCKCC,Fa,ø,F,Fa,Fab,Fabr,Fabri,C,CK,CKC,CKCC,CKCCL,7,13,11,3,4,2,2,light,light,heavy,c,o,c,CK,CCL,CKCC,C,CC,C,,,CC,K,L,K,2,3,4,1,0,2,1,2,1,1,2,1,CVC,CCVV,CVCC,2,1,3,N,R,T,1,Fabrikant,ultima
kat,ø,t,at,kat,ikat,rikat,C,LC,CLC,LCLC,CLCLC,Fa,ø,F,Fa,Fab,Fabr,Fabri,C,CK,CKC,CKCC,CKCCL,7,13,12,3,4,4,2,light,light,light,c,o,c,CK,CCL,CLC,C,CC,C,,,C,K,L,L,2,3,3,1,0,1,1,2,1,1,2,2,CVC,CCVV,CVVC,2,1,1,N,R,T,1,Fabrikat,ultima
lant,ø,t,nt,ant,lant,ulant,C,CC,KCC,CKCC,LCKCC,Fa,ø,F,Fa,Fab,Fabu,Fabul,C,CK,CKC,CKCL,CKCLC,7,9,14,3,4,3,3,light,light,heavy,c,o,c,CK,CL,CKCC,C,C,C,,,CC,K,L,K,2,2,4,1,0,2,1,1,1,1,2,1,CVC,CVV,CVCC,2,0,3,N,R,T,1,Fabulant,ultima
