syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
ner,ø,r,er,ner,nner,enner,C,KC,CKC,KCKC,CKCKC,Bren,ø,B,Br,Bre,Bren,Brenn,C,CC,CCK,CCKC,CCKCK,11,13,3,4,1,light,schwa,c,c,CCK,CKC,CC,C,?,C,K,K,4,3,1,1,2,1,1,1,CCVC,CVC,3,2,N,V,T,1,Brenner,paenultima
tut,ø,t,ut,tut,atut,tatut,C,LC,CLC,KCLC,CKCLC,Sta,ø,S,St,Sta,Stat,Statu,C,CC,CCK,CCKC,CCKCL,8,10,2,3,1,light,light,c,c,CCK,CLC,CC,C,?,C,K,L,3,3,1,1,2,1,1,2,CCVC,CVVC,3,1,N,ø,T,0,Statut,ultima
zug,ø,g,ug,zug,tzug,htzug,C,LC,ALC,CALC,CCALC,Nacht,ø,N,Na,Nac,Nach,Nacht,C,CK,CKC,CKCC,CKCCA,11,10,2,3,0,heavy,light,c,c,CKCC,ALC,C,A,CC,C,K,L,5,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,NN,T,2,Nachtzug,paenultima
mann,ø,n,nn,ann,mann,hmann,C,KC,CKC,CCKC,KCCKC,Fach,ø,F,Fa,Fac,Fach,Fachm,C,CK,CKC,CKCC,CKCCK,8,12,2,4,2,light,light,c,c,CKC,CKC,C,C,C,C,K,K,4,4,1,1,1,1,1,1,CVC,CVC,2,2,N,NN,T,2,Fachmann,paenultima
ger,ø,r,er,ger,iger,eiger,C,KC,CKC,DCKC,ADCKC,Zei,ø,Z,Ze,Zei,Zeig,Zeige,A,AD,ADC,ADCK,ADCKC,11,11,5,3,0,light,schwa,o,c,AD,CKC,A,C,?,C,D,K,3,3,0,1,1,1,2,1,CVV,CVC,0,2,N,V,T,1,Zeiger,paenultima
zeug,ø,g,ug,eug,zeug,bzeug,C,DC,ADC,CADC,DCADC,Schreib,ø,S,Sc,Sch,Schr,Schre,C,CC,CCD,CCDC,CCDCA,16,12,4,4,-2,light,light,c,c,CCDC,ADC,CC,A,C,C,D,D,7,4,1,1,2,1,2,2,CCVVC,CVVC,1,1,N,VN,T,2,Schreibzeug,paenultima
lich,ø,h,ch,ich,lich,zlich,C,KC,CKC,ACKC,CACKC,g1nz,ø,g,ga,gae,gaen,gaenz,C,CK,CKC,CKCA,CKCAC,11,13,2,4,1,heavy,light,c,c,CKCA,CKC,C,C,CA,C,K,K,4,4,2,1,1,1,1,1,CVCC,CVC,3,2,A,A,F,1,gaenzlich,paenultima
sto$,ø,s,ss,oss,toss,stoss,C,LC,CLC,CCLC,CCCLC,Aus,ø,A,Au,Aus,Auss,Ausst,D,DC,DCC,DCCC,DCCCL,11,9,5,2,-1,light,light,c,c,DC,CCLC,?,CC,C,C,D,L,3,4,1,1,0,2,2,2,VVC,CCVVC,0,1,N,V,T,1,Ausstoss,paenultima
ler,ler,r,er,ler,eler,ueler,C,KC,CKC,LCKC,CLCKC,Sp2,ø,S,Sp,Spu,Spue,Spuel,C,CC,CCL,CCLC,CCLCK,10,14,3,4,2,light,schwa,o,c,CCL,CKC,CC,C,?,C,L,K,3,3,0,1,2,1,2,1,CCVV,CVC,1,2,N,V,T,1,Spueler,paenultima
ne,ø,e,ne,rne,erne,ferne,K,CK,CCK,KCCK,CKCCK,fer,ø,f,fe,fer,fern,ferne,C,CK,CKC,CKCC,CKCCK,11,9,3,4,-1,light,schwa,c,o,CKC,CK,C,C,C,?,K,K,3,2,1,0,1,1,1,1,CVC,CV,2,1,ADV,A,F,1,ferne,paenultima
