syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
mal,ø,l,al,mal,bmal,lbmal,C,LC,CLC,CCLC,CCCLC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,12,12,17,4,3,3,5,2,light,schwa,heavy,light,c,c,c,c,KC,CKCC,CKCC,CLC,,C,C,C,C,CC,CC,C,K,K,K,L,2,4,4,3,1,2,2,1,0,1,1,1,1,1,1,2,VC,CVCC,CVCC,CVVC,1,3,3,1,ADV,ø,F,2,anderthalbmal,multa
tig,ø,g,ig,tig,rtig,ertig,C,KC,CKC,CCKC,KCCKC,ø,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,11,10,4,3,3,3,0,light,schwa,light,light,c,c,c,c,KC,CKC,CKC,CKC,,C,C,C,C,C,C,C,K,K,K,K,2,3,3,3,1,1,1,1,0,1,1,1,1,1,1,1,VC,CVC,CVC,CVC,1,2,2,2,A,A,F,1,anderwaertig,multa
tig,ø,g,ig,tig,itig,eitig,C,KC,CKC,DCKC,CDCKC,noacc,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,11,10,4,3,5,3,0,light,schwa,light,light,c,c,o,c,KC,CKC,CD,CKC,,C,C,C,C,C,,C,K,K,D,K,2,3,3,3,1,1,0,1,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVC,1,2,0,2,A,B,F,1,anderweitig,multa
tig,ø,g,ig,tig,itig,eitig,C,KC,CKC,DCKC,CDCKC,noacc,an,an,a,an,and,ande,ander,K,KC,KCC,KCCK,KCCKC,ø,9,11,11,10,4,3,5,3,0,light,schwa,light,light,c,c,o,c,KC,CKC,CD,CKC,,C,C,C,C,C,,C,K,K,D,K,2,3,3,3,1,1,0,1,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVC,1,2,0,2,ADV,A,F,1,anderweitig,multa
falls,ø,s,ls,lls,alls,falls,C,CC,KCC,CKCC,CCKCC,ø,1u,ø,a,ae,aeu,aeus,aeuss,D,DC,DCK,DCKC,DCKCC,ø,10,11,11,12,10,3,2,3,0,light,schwa,schwa,heavy,o,c,c,c,D,CKC,CCKC,CKCC,,C,CC,C,,C,C,CC,D,K,K,K,2,3,4,5,0,1,1,2,0,1,2,1,2,1,1,1,VV,CVC,CCVC,CVCC,0,2,3,3,ADV,ø,F,2,aeusserstenfalls,multa
lich,ø,h,ch,ich,lich,rlich,C,KC,CKC,CCKC,LCCKC,noacc,au,ø,a,au,aus,auss,ausse,D,DC,DCK,DCKC,DCKCC,ø,10,11,13,13,10,3,4,4,1,light,schwa,light,light,o,c,c,c,D,CKC,CLC,CKC,,C,C,C,,C,C,C,D,K,L,K,2,3,4,4,0,1,1,1,0,1,1,1,2,1,2,1,VV,CVC,CVVC,CVC,0,2,1,2,A,PN,F,2,aussertourlich,multa
se,ø,e,se,ese,oese,boese,K,CK,LCK,CLCK,CCLCK,ø,bit,ø,b,bi,bit,bitt,bitte,C,CK,CKC,CKCK,CKCKC,ø,9,11,7,7,4,3,3,3,-1,light,schwa,light,schwa,c,c,o,o,CK,CKC,CL,CK,C,C,C,C,,C,,,K,K,L,K,3,3,2,2,1,1,0,0,1,1,1,1,1,1,2,1,CVC,CVC,CVV,CV,2,2,0,1,A,AA,F,2,bitterboese,multa
ell,ø,l,ll,ell,uell,tuell,C,KC,LKC,CLKC,CCLKC,ø,brand,ø,b,br,bra,bran,brand,C,CC,CCK,CCKC,CCKCC,ø,15,7,9,10,3,3,4,5,-2,heavy,light,light,light,c,c,o,c,CCKCC,KC,CL,KC,CC,,C,,CC,C,,C,K,K,L,K,5,2,2,3,2,1,0,1,2,0,1,0,1,1,2,1,CCVCC,VC,CVV,VC,4,1,0,1,A,ø,F,2,brandaktuell,multa
chend,ø,d,nd,end,hend,chend,C,CC,KCC,CKCC,KCKCC,ø,dem,ø,d,de,dem,deme,demen,C,CL,CLC,CLCK,CLCKC,ø,10,10,12,11,3,3,3,2,0,light,heavy,light,schwa,c,c,c,c,CLC,KCC,CCCK,CKCC,C,,CCC,C,C,CC,,CC,L,K,K,K,3,3,4,5,1,2,1,2,1,0,3,1,2,1,1,1,CVVC,VCC,CCCVC,CVCC,1,2,4,3,A,ø,F,2,dementsprechend,multa
ge,ø,e,ge,lge,olge,folge,K,CK,CCK,KCCK,CKCCK,ø,dem,ø,d,de,dem,demz,demzu,C,CL,CLC,CLCA,CLCAL,ø,10,9,11,7,3,4,3,3,-1,light,light,light,schwa,c,o,c,o,CLC,AL,CKC,CK,C,A,C,C,C,,C,,L,L,K,K,3,2,3,2,1,0,1,0,1,1,1,1,2,2,1,1,CVVC,CVV,CVC,CV,1,0,2,1,ADV,ø,F,2,demzufolge,multa
