syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
burt,ø,t,rt,urt,burt,eburt,C,CC,LCC,CLCC,KCLCC,Sp1t,ø,S,Sp,Spa,Spae,Spaet,C,CC,CCL,CCLC,CCLCC,9,7,14,2,3,3,2,light,schwa,heavy,c,o,c,CCLC,CK,CLCC,CC,C,C,C,,CC,L,K,L,4,2,4,1,0,2,2,1,1,2,1,2,CCVVC,CV,CVVCC,1,1,1,N,AN,T,2,Spaetgeburt,antepaenultima
tik,ø,k,ik,tik,otik,gotik,C,KC,CKC,LCKC,CLCKC,Sp1t,ø,S,Sp,Spa,Spae,Spaet,C,CC,CCL,CCLC,CCLCC,9,7,10,2,3,3,0,light,light,light,c,o,c,CCLC,CL,CKC,CC,C,C,C,,C,L,L,K,4,2,3,1,0,1,2,1,1,2,2,1,CCVVC,CVV,CVC,1,0,2,N,AN,T,2,Spaetgotik,antepaenultima
tein,ø,n,in,ein,tein,atein,C,DC,CDC,KCDC,CKCDC,Sp1t,ø,S,Sp,Spa,Spae,Spaet,C,CC,CCL,CCLC,CCLCC,9,10,14,2,5,4,2,light,light,light,c,c,c,CCLC,CK,CDC,CC,C,C,C,,C,L,K,D,4,2,4,1,1,1,2,1,1,2,1,2,CCVVC,CVC,CVVC,1,2,1,N,AN,T,2,Spaetlatein,antepaenultima
mer,ø,r,er,mer,mmer,ommer,C,KC,CKC,KCKC,CKCKC,Sp1t,ø,S,Sp,Spa,Spae,Spaet,C,CC,CCL,CCLC,CCLCC,9,7,13,2,3,4,2,light,light,schwa,c,c,c,CCLC,CK,CKC,CC,C,C,C,,C,L,K,K,4,3,3,1,1,1,2,1,1,2,1,1,CCVVC,CVC,CVC,1,2,2,N,AN,T,2,Spaetsommer,antepaenultima
dung,ø,g,ng,ung,dung,ndung,C,KC,CKC,CCKC,KCCKC,Sp1t,ø,S,Sp,Spa,Spae,Spaet,C,CC,CCL,CCLC,CCLCA,9,12,12,2,4,4,1,light,light,light,c,c,c,CCLC,AKC,CKC,CC,A,C,C,C,C,L,K,K,4,3,4,1,1,1,2,1,1,2,1,1,CCVVC,CVC,CVC,1,2,2,N,AN,T,2,Spaetzuendung,antepaenultima
fahrt,ø,t,rt,hrt,ahrt,fahrt,C,CC,LCC,CLCC,CCLCC,Spa,ø,S,Sp,Spa,Spaz,Spazi,C,CC,CCK,CCKA,CCKAL,8,13,16,2,4,4,4,light,light,heavy,c,c,c,CCK,ALC,CLCC,CC,A,C,,C,CC,K,L,L,3,4,5,1,1,2,2,1,1,1,2,2,CCVC,CVVC,CVVCC,3,1,1,N,VN,T,2,Spazierfahrt,paenultima
gang,ø,g,ng,ang,gang,rgang,C,KC,CKC,CCKC,LCCKC,Spa,ø,S,Sp,Spa,Spaz,Spazi,C,CC,CCK,CCKA,CCKAL,8,13,10,2,4,3,1,light,light,light,c,c,c,CCK,ALC,CKC,CC,A,C,,C,C,K,L,K,3,4,4,1,1,1,2,1,1,1,2,1,CCVC,CVVC,CVC,3,1,2,N,VN,T,2,Spaziergang,paenultima
ritt,ø,t,tt,itt,ritt,rritt,C,KC,CKC,CCKC,LCCKC,Spa,ø,S,Sp,Spa,Spaz,Spazi,C,CC,CCK,CCKA,CCKAL,8,13,13,2,4,4,2,light,light,light,c,c,c,CCK,ALC,CKC,CC,A,C,,C,C,K,L,K,3,4,4,1,1,1,2,1,1,1,2,1,CCVC,CVVC,CVC,3,1,2,N,VN,T,2,Spazierritt,paenultima
stock,ø,k,ck,ock,tock,stock,C,KC,CKC,CCKC,CCCKC,Spa,ø,S,Sp,Spa,Spaz,Spazi,C,CC,CCK,CCKA,CCKAL,8,13,9,2,4,2,0,light,light,light,c,c,c,CCK,ALC,CCKC,CC,A,CC,,C,C,K,L,K,3,4,5,1,1,1,2,1,2,1,2,1,CCVC,CVVC,CCVC,3,1,3,N,VN,T,2,Spazierstock,paenultima
weg,ø,g,eg,weg,rweg,erweg,C,LC,CLC,CCLC,LCCLC,Spa,ø,S,Sp,Spa,Spaz,Spazi,C,CC,CCK,CCKA,CCKAL,8,13,8,2,4,2,0,light,light,light,c,c,c,CCK,ALC,CLC,CC,A,C,,C,C,K,L,L,3,4,3,1,1,1,2,1,1,1,2,2,CCVC,CVVC,CVVC,3,1,1,N,VN,T,2,Spazierweg,paenultima
se,ø,e,se,ise,eise,meise,K,CK,DCK,CDCK,CCDCK,Specht,ø,S,Sp,Spe,Spec,Spech,C,CC,CCK,CCKC,CCKCC,10,13,7,2,6,3,-2,heavy,light,schwa,c,o,o,CCKCC,CD,CK,CC,C,C,CC,,,K,D,K,6,3,2,2,0,0,2,1,1,1,2,1,CCVCC,CVV,CV,4,0,1,N,NN,T,2,Spechtmeise,antepaenultima
