syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
reich,ø,h,ch,ich,eich,reich,C,DC,CDC,CCDC,DCCDC,ø,stein,ø,s,st,ste,stei,stein,C,CC,CCD,CCDC,CCDCC,ø,15,15,3,5,0,light,light,c,c,CCDC,CDC,CC,C,C,C,D,D,5,5,1,1,2,1,2,2,CCVVC,CVVC,1,1,A,NA,F,2,steinreich,multa
faul,ø,l,ul,aul,faul,kfaul,C,DC,CDC,CCDC,CCCDC,ø,stink,ø,s,st,sti,stin,stink,C,CC,CCK,CCKC,CCKCC,ø,14,15,2,5,1,heavy,light,c,c,CCKCC,CDC,CC,C,CC,C,K,D,5,4,2,1,2,1,1,2,CCVCC,CVVC,4,1,A,ø,F,2,stinkfaul,multa
blind,ø,d,nd,ind,lind,blind,C,CC,KCC,CKCC,CCKCC,ø,stock,ø,s,st,sto,stoc,stock,C,CC,CCK,CCKC,CCKCC,ø,9,17,2,3,4,light,heavy,c,c,CCKC,CCKCC,CC,CC,C,CC,K,K,5,5,1,2,2,2,1,1,CCVC,CCVCC,3,4,A,ø,F,2,stockblind,multa
dumm,ø,m,mm,umm,dumm,kdumm,C,KC,CKC,CCKC,KCCKC,ø,stock,ø,s,st,sto,stoc,stock,C,CC,CCK,CCKC,CCKCC,ø,9,12,2,4,2,light,light,c,c,CCKC,CKC,CC,C,C,C,K,K,5,4,1,1,2,1,1,1,CCVC,CVC,3,2,A,ø,F,2,stockdumm,multa
hell,ø,l,ll,ell,hell,ghell,C,KC,CKC,CCKC,LCCKC,ø,tag,ø,t,ta,tag,tagh,taghe,C,CL,CLC,CLCC,CLCCK,ø,12,11,4,3,0,light,light,c,c,CLC,CKC,C,C,C,C,L,K,3,4,1,1,1,1,2,1,CVVC,CVC,1,2,A,NA,F,2,taghell,multa
tack,ø,k,ck,ack,tack,ktack,C,KC,CKC,CCKC,KCCKC,ø,Tick,ø,T,Ti,Tic,Tick,Tickt,C,CK,CKC,CKCC,CKCCK,ø,10,8,3,2,-1,light,light,c,c,CKC,CKC,C,C,C,C,K,K,4,4,1,1,1,1,1,1,CVC,CVC,2,2,N,ø,T,0,Ticktack,multa
topp,ø,p,pp,opp,topp,ptopp,C,KC,CKC,CCKC,KCCKC,ø,tipp,ø,t,ti,tip,tipp,tippt,C,CK,CKC,CKCC,CKCCK,ø,10,8,3,2,-1,light,light,c,c,CKC,CKC,C,C,C,C,K,K,4,4,1,1,1,1,1,1,CVC,CVC,2,2,A,ø,F,0,tipptopp,multa
bleich,ø,h,ch,ich,eich,leich,C,DC,CDC,CCDC,CCCDC,ø,tod,ø,t,to,tod,todb,todbl,C,CL,CLC,CLCC,CLCCC,ø,8,16,2,4,4,light,light,c,c,CLC,CCDC,C,CC,C,C,L,D,3,6,1,1,1,2,2,2,CVVC,CCVVC,1,1,A,NA,F,2,todbleich,multa
ernst,ø,t,st,nst,rnst,ernst,C,CC,CCC,CCCC,KCCCC,ø,tod,ø,t,to,tod,tode,toder,C,CL,CLC,CLCK,CLCKC,ø,8,15,2,3,4,light,heavy,c,c,CLC,KCCCC,C,,C,CCCC,L,K,3,5,1,4,1,0,2,1,CVVC,VCCCC,1,4,A,NA,F,2,todernst,multa
krank,ø,k,nk,ank,rank,krank,C,CC,KCC,CKCC,CCKCC,ø,tod,ø,t,to,tod,todk,todkr,C,CL,CLC,CLCC,CLCCC,ø,8,15,2,3,4,light,heavy,c,c,CLC,CCKCC,C,CC,C,CC,L,K,3,5,1,2,1,2,2,1,CVVC,CCVCC,1,4,A,NA,F,2,todkrank,multa
matt,ø,t,tt,att,matt,dmatt,C,KC,CKC,CCKC,LCCKC,ø,tod,ø,t,to,tod,todm,todma,C,CL,CLC,CLCC,CLCCK,ø,8,10,2,3,1,light,light,c,c,CLC,CKC,C,C,C,C,L,K,3,4,1,1,1,1,2,1,CVVC,CVC,1,2,A,NA,F,2,todmatt,multa
schick,ø,k,ck,ick,hick,chick,C,KC,CKC,CCKC,LCCKC,ø,tod,ø,t,to,tod,tods,todsc,C,CL,CLC,CLCC,CLCCK,ø,8,10,2,3,1,light,light,c,c,CLC,CKC,C,C,C,C,L,K,3,6,1,1,1,1,2,1,CVVC,CVC,1,2,A,NA,F,2,todschick,multa
still,ø,l,ll,ill,till,still,C,KC,CKC,CCKC,CCCKC,ø,tod,ø,t,to,tod,tods,todst,C,CL,CLC,CLCC,CLCCC,ø,8,14,2,3,3,light,light,c,c,CLC,CCKC,C,CC,C,C,L,K,3,5,1,1,1,2,2,1,CVVC,CCVC,1,3,A,NA,F,2,todstill,multa
wund,ø,d,nd,und,wund,dwund,C,CC,KCC,CKCC,CCKCC,ø,tod,ø,t,to,tod,todw,todwu,C,CL,CLC,CLCC,CLCCK,ø,8,13,2,3,3,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,A,NA,F,2,todwund,multa
fit,ø,t,it,fit,pfit,opfit,C,KC,CKC,CCKC,KCCKC,ø,top,ø,t,to,top,topf,topfi,C,CK,CKC,CKCC,CKCCK,ø,8,10,2,3,1,light,light,c,c,CKC,CKC,C,C,C,C,K,K,3,3,1,1,1,1,1,1,CVC,CVC,2,2,A,ø,F,0,topfit,multa
na$,ø,s,ss,ass,nass,fnass,C,KC,CKC,CCKC,LCCKC,ø,trief,ø,t,tr,tri,trie,trief,C,CC,CCL,CCLC,CCLCC,ø,14,10,3,3,-2,light,light,c,c,CCLC,CKC,CC,C,C,C,L,K,5,3,1,1,2,1,2,1,CCVVC,CVC,1,2,A,ø,F,2,triefnass,multa
ab,ø,b,ab,tab,itab,eitab,C,KC,CKC,DCKC,CDCKC,ø,weit,ø,w,we,wei,weit,weita,C,CD,CDC,CDCK,CDCKC,ø,12,7,4,3,-2,light,light,c,c,CDC,KC,C,,C,C,D,K,4,2,1,1,1,0,2,1,CVVC,VC,1,1,ADV,ø,F,2,weitab,multa
aus,ø,s,us,aus,taus,itaus,C,DC,CDC,DCDC,CDCDC,ø,weit,ø,w,we,wei,weit,weita,C,CD,CDC,CDCD,CDCDC,ø,12,11,4,5,0,light,light,c,c,CDC,DC,C,,C,C,D,D,4,3,1,1,1,0,2,2,CVVC,VVC,1,0,ADV,ø,F,2,weitaus,multa
hin,ø,n,in,hin,thin,ithin,C,KC,CKC,CCKC,DCCKC,ø,weit,ø,w,we,wei,weit,weith,C,CD,CDC,CDCC,CDCCK,ø,12,12,4,4,0,light,light,c,c,CDC,CKC,C,C,C,C,D,K,4,3,1,1,1,1,2,1,CVVC,CVC,1,2,ADV,ø,F,2,weithin,multa
d2rr,ø,r,rr,err,uerr,duerr,C,KC,CKC,CCKC,DCCKC,ø,zaun,ø,z,za,zau,zaun,zaund,A,AD,ADC,ADCC,ADCCK,ø,14,13,4,4,0,light,light,c,c,ADC,CKC,A,C,C,C,D,K,4,4,1,1,1,1,2,1,CVVC,CVC,1,2,A,NA,F,2,zaunduerr,multa
