Nennungen der Features in J48:,,,,,
,,,,,
n,attr,ø values,normalized occurences,,
233.0,8.0,0.965665,5syl,models-numeric.txt,5syl/models-numeric.txt:(cv_ratio4 <= 0) and (comp_len <= 1) and (sonority4 >= 9) => stress_class=ultima (233.0/8.0)
230.0,2.0,0.991304,5syl,models-sparse.txt,5syl/models-sparse.txt:(comp_len <= 1) and (cv_ratio4 >= 2) and (pos = V) and (prae_class = ø) => stress_class=paenultima (230.0/2.0)
224.0,10.0,0.955357,3syl,models-all.txt,3syl/models-all.txt:(syl_suffix = ø) and (comp_len <= 1) and (syl_weight2 = heavy) and (syl_weight1 = light) and (sonority0 <= 10) and (signi_praefix = ø) => stress_class=ultima (224.0/10.0)
216.0,5.0,0.976852,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio0 >= 2) and (syl_len0 <= 3) and (sonority_ratio0 <= 3) and (sonority_dir <= 0) and (nucleus_len2 <= 1) and (koda_len2 <= 1) and (syl_len1 >= 3) => stress_class=paenultima (216.0/5.0)
215.0,92.0,0.572093,4syl,models-meta.txt,4syl/models-meta.txt:(comp_len <= 1) and (pos = N) and (comp_struct = R) => stress_class=ultima (215.0/92.0)
210.0,26.0,0.87619,4syl,models-numeric.txt,4syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio2 <= 0) and (onset_len0 >= 1) and (sonority3 >= 13) => stress_class=paenultima (210.0/26.0)
210.0,20.0,0.904762,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (suffix3 = sch) => stress_class=paenultima (210.0/20.0)
207.0,64.0,0.690821,3syl,models-meta.txt,3syl/models-meta.txt:(comp_len <= 1) and (pos = N) and (comp_struct = R) => stress_class=ultima (207.0/64.0)
195.0,20.0,0.897436,4syl,models-all.txt,4syl/models-all.txt:(nucleus_phoncat3 = L) and (comp_len <= 1) and (signi_suffix = ø) and (syl_len3 >= 3) => stress_class=ultima (195.0/20.0)
194.0,95.0,0.510309,3syl,models-meta.txt,3syl/models-meta.txt:(comp_len <= 0) and (pos = A) => stress_class=ultima (194.0/95.0)
194.0,3.0,0.984536,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (syl_len0 <= 3) and (onset_len0 >= 1) and (syl_weight2 = schwa) and (nucleus_phoncat0 = K) and (sonority2 <= 9) => stress_class=paenultima (194.0/3.0)
190.0,2.0,0.989474,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (nucleus_phoncat1 = L) and (sonority_dir >= 0) and (syl_weight2 = schwa) and (pos = V) and (sonority2 <= 13) => stress_class=paenultima (190.0/2.0)
188.0,47.0,0.75,4syl,models-meta.txt,4syl/models-meta.txt:(comp_len <= 1) and (comp_struct = N) and (pos = V) => stress_class=paenultima (188.0/47.0)
